# Chunk-averaged data for fix myac1 and group H2O
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
1000000 42 1217.9999999999998
  1 -20.5 0 0 0
  2 -19.5 0 0 0
  3 -18.5 0 0 0
  4 -17.5 0 0 0
  5 -16.5 0 0 0
  6 -15.5 0 0 0
  7 -14.5 0 0 0
  8 -13.5 0 0 0
  9 -12.5 0 0 0
  10 -11.5 0 0 0
  11 -10.5 2.44738 0.00697181 1.81619e-05
  12 -9.5 67.6521 1.16132 1.43182e-05
  13 -8.5 78.2293 1.39685 2.87839e-05
  14 -7.5 29.2751 0.330404 5.04685e-05
  15 -6.5 63.9464 1.20057 7.75669e-05
  16 -5.5 69.2797 1.17701 0.000104102
  17 -4.5 51.9433 0.85975 0.000135193
  18 -3.5 59.1115 1.0317 0.000184852
  19 -2.5 59.8042 1.0148 0.000199931
  20 -1.5 58.0095 0.984458 0.000234294
  21 -0.5 57.9131 0.981683 0.000236746
  22 0.5 58.3066 0.996642 0.000242556
  23 1.5 58.4155 0.985782 0.000239303
  24 2.5 59.9848 1.03129 0.000230924
  25 3.5 57.9136 1.00756 0.000213905
  26 4.5 53.08 0.892002 0.000180906
  27 5.5 67.8172 1.14576 0.000151354
  28 6.5 64.1522 1.20646 0.000125074
  29 7.5 35.748 0.41378 8.76201e-05
  30 8.5 84.2401 1.50026 4.19394e-05
  31 9.5 77.8091 1.33726 2.40968e-05
  32 10.5 2.92142 0.0083231 2.39657e-05
  33 11.5 2.10526e-05 5.99723e-08 0.0177914
  34 12.5 0 0 0
  35 13.5 0 0 0
  36 14.5 0 0 0
  37 15.5 0 0 0
  38 16.5 0 0 0
  39 17.5 0 0 0
  40 18.5 0 0 0
  41 19.5 0 0 0
  42 20.5 0 0 0
2000000 42 1218
  1 -20.5 0 0 0
  2 -19.5 0 0 0
  3 -18.5 0 0 0
  4 -17.5 0 0 0
  5 -16.5 0 0 0
  6 -15.5 0 0 0
  7 -14.5 0 0 0
  8 -13.5 0 0 0
  9 -12.5 0 0 0
  10 -11.5 0 0 0
  11 -10.5 2.43493 0.00693634 8.04584e-06
  12 -9.5 68.2969 1.18148 6.63192e-06
  13 -8.5 75.7499 1.33072 1.60986e-05
  14 -7.5 27.8941 0.308401 4.08428e-05
  15 -6.5 64.8448 1.18488 6.30263e-05
  16 -5.5 70.3111 1.2103 9.41131e-05
  17 -4.5 52.8397 0.866218 0.00013573
  18 -3.5 58.674 1.02548 0.000169454
  19 -2.5 60.2948 1.02539 0.000199706
  20 -1.5 59.0068 1.00816 0.000213803
  21 -0.5 58.5193 0.997644 0.00023309
  22 0.5 58.3414 1.00736 0.000238607
  23 1.5 58.7289 0.99737 0.000234662
  24 2.5 60.0961 1.03406 0.000210238
  25 3.5 58.5875 1.01602 0.000201627
  26 4.5 53.4558 0.896166 0.000176437
  27 5.5 67.4675 1.13328 0.000132056
  28 6.5 64.8973 1.22573 0.000108965
  29 7.5 34.3718 0.397891 7.91601e-05
  30 8.5 81.181 1.44192 4.31778e-05
  31 9.5 79.0901 1.3669 2.55881e-05
  32 10.5 2.91616 0.00830766 -2.34352e-05
  33 11.5 0 0 0
  34 12.5 0 0 0
  35 13.5 0 0 0
  36 14.5 0 0 0
  37 15.5 0 0 0
  38 16.5 0 0 0
  39 17.5 0 0 0
  40 18.5 0 0 0
  41 19.5 0 0 0
  42 20.5 0 0 0
