# Chunk-averaged data for fix myac1 and group H2O
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
1000000 42 1218
  1 -20.5 0 0 0
  2 -19.5 0 0 0
  3 -18.5 0 0 0
  4 -17.5 0 0 0
  5 -16.5 0 0 0
  6 -15.5 0 0 0
  7 -14.5 0 0 0
  8 -13.5 0 0 0
  9 -12.5 0 0 0
  10 -11.5 0 0 0
  11 -10.5 3.42826 0.00976604 3.05745e-05
  12 -9.5 70.1034 1.28971 2.23728e-05
  13 -8.5 63.2286 1.08936 3.36559e-05
  14 -7.5 27.2695 0.29009 0.000109029
  15 -6.5 71.5672 1.44246 0.000156624
  16 -5.5 66.6734 1.05142 0.000223676
  17 -4.5 48.8691 0.792587 0.000385082
  18 -3.5 66.1136 1.18504 0.00052784
  19 -2.5 60.1205 0.990454 0.000631983
  20 -1.5 57.1735 0.970579 0.000709925
  21 -0.5 61.2082 1.04383 0.000785194
  22 0.5 60.9613 1.03712 0.000808236
  23 1.5 57.6508 0.975561 0.000780113
  24 2.5 59.6702 0.991972 0.000743016
  25 3.5 65.152 1.16002 0.000696087
  26 4.5 51.808 0.83347 0.000603733
  27 5.5 62.4867 1.00558 0.000438392
  28 6.5 74.3127 1.45245 0.000361431
  29 7.5 35.0857 0.383518 0.000237763
  30 8.5 68.8751 1.16026 0.000113081
  31 9.5 81.8096 1.50276 6.63819e-05
  32 10.5 4.43236 0.0126286 3.07603e-05
  33 11.5 0 0 0
  34 12.5 0 0 0
  35 13.5 0 0 0
  36 14.5 0 0 0
  37 15.5 0 0 0
  38 16.5 0 0 0
  39 17.5 0 0 0
  40 18.5 0 0 0
  41 19.5 0 0 0
  42 20.5 0 0 0
2000000 42 1217.9999999999998
  1 -20.5 0 0 0
  2 -19.5 0 0 0
  3 -18.5 0 0 0
  4 -17.5 0 0 0
  5 -16.5 0 0 0
  6 -15.5 0 0 0
  7 -14.5 0 0 0
  8 -13.5 0 0 0
  9 -12.5 0 0 0
  10 -11.5 0 0 0
  11 -10.5 3.01101 0.00857742 3.20405e-06
  12 -9.5 68.4915 1.24972 1.33457e-05
  13 -8.5 63.2902 1.09892 3.9333e-05
  14 -7.5 27.282 0.281068 0.000139538
  15 -6.5 72.2794 1.46802 0.000193444
  16 -5.5 67.108 1.05156 0.000248598
  17 -4.5 48.9825 0.797218 0.000405305
  18 -3.5 66.2171 1.18436 0.000560065
  19 -2.5 60.5766 0.998256 0.000663974
  20 -1.5 57.297 0.972672 0.000745686
  21 -0.5 61.4431 1.04831 0.000820808
  22 0.5 61.4069 1.04536 0.000844177
  23 1.5 57.7574 0.977163 0.000825039
  24 2.5 59.7794 0.993969 0.000795002
  25 3.5 65.5392 1.16521 0.00074729
  26 4.5 51.9158 0.841631 0.000632343
  27 5.5 62.7762 0.998267 0.000492418
  28 6.5 74.7275 1.46727 0.000397114
  29 7.5 34.9837 0.37745 0.00027884
  30 8.5 68.7713 1.16769 0.000136772
  31 9.5 80.3145 1.46641 7.31628e-05
  32 10.5 4.04964 0.0115362 -3.47173e-06
  33 11.5 0 0 0
  34 12.5 0 0 0
  35 13.5 0 0 0
  36 14.5 0 0 0
  37 15.5 0 0 0
  38 16.5 0 0 0
  39 17.5 0 0 0
  40 18.5 0 0 0
  41 19.5 0 0 0
  42 20.5 0 0 0
