# Chunk-averaged data for fix myac4 and group H2O
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
1000000 82 1217.9999999999998
  1 -20.25 0 0 0
  2 -19.75 0 0 0
  3 -19.25 0 0 0
  4 -18.75 0 0 0
  5 -18.25 0 0 0
  6 -17.75 0 0 0
  7 -17.25 0 0 0
  8 -16.75 0 0 0
  9 -16.25 0 0 0
  10 -15.75 0 0 0
  11 -15.25 0 0 0
  12 -14.75 0 0 0
  13 -14.25 0 0 0
  14 -13.75 0 0 0
  15 -13.25 0 0 0
  16 -12.75 0 0 0
  17 -12.25 0 0 0
  18 -11.75 0 0 0
  19 -11.25 0 0 0
  20 -10.75 0.163084 0.000929151 0.000114493
  21 -10.25 2.79381 0.0159486 8.12437e-05
  22 -9.75 14.6813 0.307975 4.16194e-05
  23 -9.25 61.4 2.37213 5.46723e-05
  24 -8.75 45.9148 1.70864 7.22135e-05
  25 -8.25 21.9292 0.635524 7.02143e-05
  26 -7.75 16.0476 0.390284 8.00069e-05
  27 -7.25 19.4292 0.455474 0.000102209
  28 -6.75 29.921 1.06034 9.14257e-05
  29 -6.25 40.6167 1.60424 0.000109127
  30 -5.75 36.8406 1.27568 0.000123072
  31 -5.25 28.5762 0.88312 0.000149124
  32 -4.75 25.7068 0.851408 0.000146447
  33 -4.25 26.415 0.910947 0.000167157
  34 -3.75 28.8985 1.0135 0.000176577
  35 -3.25 30.6716 1.05453 0.000190507
  36 -2.75 30.6406 1.04807 0.000189914
  37 -2.25 29.6825 1.0263 0.00020897
  38 -1.75 28.3551 0.95886 0.000205544
  39 -1.25 27.9525 0.937618 0.000221838
  40 -0.75 28.9939 0.984879 0.000235225
  41 -0.25 30.0505 1.03449 0.000225201
  42 0.25 30.0832 1.04412 0.000227566
  43 0.75 28.9483 0.983822 0.000226096
  44 1.25 28.1372 0.942504 0.000228406
  45 1.75 28.6199 0.958811 0.000235795
  46 2.25 29.8328 1.0241 0.000213805
  47 2.75 30.8773 1.05624 0.000215861
  48 3.25 30.8599 1.06243 0.00021134
  49 3.75 28.7615 1.00929 0.000196283
  50 4.25 26.1164 0.901839 0.00018372
  51 4.75 25.664 0.849147 0.000166107
  52 5.25 28.9179 0.91737 0.00015509
  53 5.75 36.4611 1.25505 0.000151029
  54 6.25 39.6694 1.57499 0.000139785
  55 6.75 28.8692 1.05801 0.00012455
  56 7.25 19.5847 0.469406 0.000108604
  57 7.75 17.0067 0.412261 0.000109516
  58 8.25 23.5933 0.688674 0.000110057
  59 8.75 48.0926 1.80744 0.000101834
  60 9.25 63.2967 2.44989 6.63919e-05
  61 9.75 15.7473 0.326853 6.23215e-05
  62 10.25 2.99653 0.0170973 5.02387e-05
  63 10.75 0.183358 0.00104466 -6.37512e-05
  64 11.25 0 0 0
  65 11.75 0 0 0
  66 12.25 0 0 0
  67 12.75 0 0 0
  68 13.25 0 0 0
  69 13.75 0 0 0
  70 14.25 0 0 0
  71 14.75 0 0 0
  72 15.25 0 0 0
  73 15.75 0 0 0
  74 16.25 0 0 0
  75 16.75 0 0 0
  76 17.25 0 0 0
  77 17.75 0 0 0
  78 18.25 0 0 0
  79 18.75 0 0 0
  80 19.25 0 0 0
  81 19.75 0 0 0
  82 20.25 0 0 0
2000000 82 1218.0000000000002
  1 -20.25 0 0 0
  2 -19.75 0 0 0
  3 -19.25 0 0 0
  4 -18.75 0 0 0
  5 -18.25 0 0 0
  6 -17.75 0 0 0
  7 -17.25 0 0 0
  8 -16.75 0 0 0
  9 -16.25 0 0 0
  10 -15.75 0 0 0
  11 -15.25 0 0 0
  12 -14.75 0 0 0
  13 -14.25 0 0 0
  14 -13.75 0 0 0
  15 -13.25 0 0 0
  16 -12.75 0 0 0
  17 -12.25 0 0 0
  18 -11.75 0 0 0
  19 -11.25 0 0 0
  20 -10.75 0.134674 0.000767286 -0.000334777
  21 -10.25 2.59259 0.0147923 6.16505e-05
  22 -9.75 15.5852 0.331318 2.77208e-05
  23 -9.25 62.2102 2.42151 4.46288e-05
  24 -8.75 44.8517 1.7109 5.74436e-05
  25 -8.25 21.9286 0.625877 6.90779e-05
  26 -7.75 15.6359 0.357638 7.25278e-05
  27 -7.25 18.0109 0.425239 8.39437e-05
  28 -6.75 28.8483 1.07969 9.07781e-05
  29 -6.25 40.6248 1.6151 0.000107419
  30 -5.75 36.7393 1.24497 0.000117684
  31 -5.25 28.5232 0.884498 0.000126573
  32 -4.75 25.2171 0.837111 0.000148005
  33 -4.25 26.0281 0.903866 0.000158827
  34 -3.75 29.1581 1.02383 0.000169875
  35 -3.25 31.4478 1.07613 0.000180107
  36 -2.75 31.5007 1.08776 0.000187664
  37 -2.25 30.3624 1.05005 0.000215937
  38 -1.75 28.8875 0.966711 0.000217781
  39 -1.25 28.2631 0.932358 0.000230133
  40 -0.75 29.0071 0.988956 0.000235482
  41 -0.25 30.3736 1.05919 0.000239577
  42 0.25 30.5232 1.0581 0.000233285
  43 0.75 29.4384 0.985697 0.000228709
  44 1.25 28.4345 0.932593 0.000225941
  45 1.75 29.0577 0.982388 0.000224225
  46 2.25 30.5775 1.06119 0.000220633
  47 2.75 31.4964 1.08244 0.000206499
  48 3.25 31.2658 1.0506 0.000201352
  49 3.75 28.6313 0.98808 0.000193078
  50 4.25 25.9797 0.893175 0.000170816
  51 4.75 25.6164 0.839849 0.00015832
  52 5.25 29.2986 0.909114 0.00015039
  53 5.75 37.8422 1.28861 0.000128737
  54 6.25 41.5862 1.64664 0.000114937
  55 6.75 29.409 1.06722 8.84338e-05
  56 7.25 18.7489 0.429744 0.000103934
  57 7.75 15.7728 0.375678 9.65985e-05
  58 8.25 22.046 0.640737 7.29352e-05
  59 8.75 45.3468 1.69543 6.04484e-05
  60 9.25 62.634 2.42602 4.09159e-05
  61 9.75 15.4786 0.333247 2.3493e-05
  62 10.25 2.72664 0.0155516 3.40652e-05
  63 10.75 0.158347 0.000902163 0.000220782
  64 11.25 0 0 0
  65 11.75 0 0 0
  66 12.25 0 0 0
  67 12.75 0 0 0
  68 13.25 0 0 0
  69 13.75 0 0 0
  70 14.25 0 0 0
  71 14.75 0 0 0
  72 15.25 0 0 0
  73 15.75 0 0 0
  74 16.25 0 0 0
  75 16.75 0 0 0
  76 17.25 0 0 0
  77 17.75 0 0 0
  78 18.25 0 0 0
  79 18.75 0 0 0
  80 19.25 0 0 0
  81 19.75 0 0 0
  82 20.25 0 0 0
