# Chunk-averaged data for fix myac4 and group H2O
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
1000000 82 1218
  1 -20.25 0 0 0
  2 -19.75 0 0 0
  3 -19.25 0 0 0
  4 -18.75 0 0 0
  5 -18.25 0 0 0
  6 -17.75 0 0 0
  7 -17.25 0 0 0
  8 -16.75 0 0 0
  9 -16.25 0 0 0
  10 -15.75 0 0 0
  11 -15.25 0 0 0
  12 -14.75 0 0 0
  13 -14.25 0 0 0
  14 -13.75 0 0 0
  15 -13.25 0 0 0
  16 -12.75 0 0 0
  17 -12.25 0 0 0
  18 -11.75 0 0 0
  19 -11.25 0 0 0
  20 -10.75 0.164158 0.000935268 0.000111527
  21 -10.25 2.80217 0.0159766 4.75712e-05
  22 -9.75 15.2117 0.319048 1.25967e-05
  23 -9.25 64.4939 2.46455 3.06296e-05
  24 -8.75 47.2182 1.73097 3.72814e-05
  25 -8.25 21.6539 0.644947 4.21313e-05
  26 -7.75 15.8072 0.38543 4.46913e-05
  27 -7.25 19.9184 0.441851 7.25289e-05
  28 -6.75 30.9313 1.06631 7.60751e-05
  29 -6.25 41.1154 1.6411 8.49856e-05
  30 -5.75 36.6692 1.30782 9.00417e-05
  31 -5.25 28.2561 0.87808 0.000106026
  32 -4.75 25.4339 0.838881 0.000117142
  33 -4.25 26.0686 0.911746 0.000122244
  34 -3.75 28.7415 1.02198 0.000128332
  35 -3.25 30.8714 1.06324 0.000136648
  36 -2.75 30.9107 1.05703 0.00015877
  37 -2.25 29.968 1.03432 0.000146079
  38 -1.75 29.0147 0.986141 0.000156504
  39 -1.25 28.3253 0.944494 0.00017174
  40 -0.75 29.1317 0.987359 0.000164112
  41 -0.25 30.0284 1.04583 0.000172918
  42 0.25 29.9072 1.03686 0.00017495
  43 0.75 28.7602 0.980309 0.000172173
  44 1.25 27.9445 0.940362 0.000174519
  45 1.75 28.6441 0.971222 0.000158909
  46 2.25 29.9704 1.03408 0.00015439
  47 2.75 30.9566 1.06616 0.000147491
  48 3.25 30.8708 1.05355 0.000143667
  49 3.75 28.7375 1.00749 0.000135852
  50 4.25 26.153 0.910421 0.000131126
  51 4.75 25.2906 0.82538 0.000113631
  52 5.25 28.3094 0.869141 0.000101003
  53 5.75 36.6229 1.26384 9.12568e-05
  54 6.25 40.6337 1.61314 8.9681e-05
  55 6.75 28.9977 1.03982 8.3672e-05
  56 7.25 18.9046 0.43865 8.40077e-05
  57 7.75 16.2189 0.391124 6.07699e-05
  58 8.25 22.6179 0.656539 5.91434e-05
  59 8.75 46.0376 1.73635 4.62403e-05
  60 9.25 61.8309 2.38638 3.30782e-05
  61 9.75 15.0153 0.316242 3.11106e-05
  62 10.25 2.68968 0.0153277 6.69492e-05
  63 10.75 0.150474 0.000857304 -0.000260096
  64 11.25 0 0 0
  65 11.75 0 0 0
  66 12.25 0 0 0
  67 12.75 0 0 0
  68 13.25 0 0 0
  69 13.75 0 0 0
  70 14.25 0 0 0
  71 14.75 0 0 0
  72 15.25 0 0 0
  73 15.75 0 0 0
  74 16.25 0 0 0
  75 16.75 0 0 0
  76 17.25 0 0 0
  77 17.75 0 0 0
  78 18.25 0 0 0
  79 18.75 0 0 0
  80 19.25 0 0 0
  81 19.75 0 0 0
  82 20.25 0 0 0
2000000 82 1218
  1 -20.25 0 0 0
  2 -19.75 0 0 0
  3 -19.25 0 0 0
  4 -18.75 0 0 0
  5 -18.25 0 0 0
  6 -17.75 0 0 0
  7 -17.25 0 0 0
  8 -16.75 0 0 0
  9 -16.25 0 0 0
  10 -15.75 0 0 0
  11 -15.25 0 0 0
  12 -14.75 0 0 0
  13 -14.25 0 0 0
  14 -13.75 0 0 0
  15 -13.25 0 0 0
  16 -12.75 0 0 0
  17 -12.25 0 0 0
  18 -11.75 0 0 0
  19 -11.25 0 0 0
  20 -10.75 0.187663 0.00106919 -9.21858e-05
  21 -10.25 2.94026 0.0167669 2.65479e-05
  22 -9.75 15.6971 0.348951 2.06321e-05
  23 -9.25 63.1357 2.45712 1.68271e-05
  24 -8.75 45.5017 1.70129 2.98697e-05
  25 -8.25 21.9984 0.63554 3.75231e-05
  26 -7.75 15.585 0.369928 3.87294e-05
  27 -7.25 18.4899 0.426332 5.68152e-05
  28 -6.75 29.8873 1.09691 6.16631e-05
  29 -6.25 41.9003 1.66199 6.45013e-05
  30 -5.75 37.4609 1.28416 7.84481e-05
  31 -5.25 28.3087 0.876827 8.8322e-05
  32 -4.75 25.1728 0.822904 0.000110299
  33 -4.25 26.2865 0.916413 0.000128891
  34 -3.75 29.0953 1.02541 0.00013164
  35 -3.25 30.9529 1.05926 0.000148872
  36 -2.75 30.7405 1.04979 0.000157507
  37 -2.25 29.9554 1.02909 0.000162414
  38 -1.75 29.326 0.996851 0.000175067
  39 -1.25 28.9107 0.968148 0.000177228
  40 -0.75 29.0568 0.984066 0.0001777
  41 -0.25 29.9141 1.03334 0.000187998
  42 0.25 29.8607 1.03679 0.000176986
  43 0.75 28.9164 0.975728 0.000179481
  44 1.25 28.4235 0.940696 0.000170212
  45 1.75 29.1004 0.980962 0.000162625
  46 2.25 30.4244 1.0551 0.000161185
  47 2.75 31.2527 1.07741 0.000154609
  48 3.25 30.9368 1.04294 0.000144167
  49 3.75 28.9725 0.998892 0.000130932
  50 4.25 26.3311 0.917536 0.00013548
  51 4.75 25.4113 0.842119 0.000110951
  52 5.25 28.1005 0.86133 0.000103798
  53 5.75 37.3145 1.25646 7.81443e-05
  54 6.25 42.2864 1.67019 6.94113e-05
  55 6.75 31.4468 1.14374 5.57457e-05
  56 7.25 18.6019 0.412738 5.66579e-05
  57 7.75 14.8734 0.339763 3.02154e-05
  58 8.25 21.0894 0.599952 2.86903e-05
  59 8.75 42.4882 1.59206 2.51488e-05
  60 9.25 62.9371 2.45284 7.57345e-06
  61 9.75 16.1301 0.367021 2.42067e-07
  62 10.25 2.45056 0.0139778 1.57007e-05
  63 10.75 0.147737 0.000841711 0.00021613
  64 11.25 0 0 0
  65 11.75 0 0 0
  66 12.25 0 0 0
  67 12.75 0 0 0
  68 13.25 0 0 0
  69 13.75 0 0 0
  70 14.25 0 0 0
  71 14.75 0 0 0
  72 15.25 0 0 0
  73 15.75 0 0 0
  74 16.25 0 0 0
  75 16.75 0 0 0
  76 17.25 0 0 0
  77 17.75 0 0 0
  78 18.25 0 0 0
  79 18.75 0 0 0
  80 19.25 0 0 0
  81 19.75 0 0 0
  82 20.25 0 0 0
