# Chunk-averaged data for fix myac1 and group H2O
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
1000000 42 1218
  1 -20.5 0 0 0
  2 -19.5 0 0 0
  3 -18.5 0 0 0
  4 -17.5 0 0 0
  5 -16.5 0 0 0
  6 -15.5 0 0 0
  7 -14.5 0 0 0
  8 -13.5 0 0 0
  9 -12.5 0 0 0
  10 -11.5 0 0 0
  11 -10.5 2.96633 0.00845593 5.11105e-05
  12 -9.5 79.7056 1.3918 2.7188e-05
  13 -8.5 68.8721 1.18796 3.88062e-05
  14 -7.5 35.7255 0.413641 6.02118e-05
  15 -6.5 72.0467 1.3537 8.11601e-05
  16 -5.5 64.9253 1.09295 9.69984e-05
  17 -4.5 51.5025 0.875313 0.000119724
  18 -3.5 59.6129 1.04261 0.000132638
  19 -2.5 60.8787 1.04567 0.000152523
  20 -1.5 57.34 0.965317 0.00016403
  21 -0.5 59.1601 1.01659 0.000168582
  22 0.5 58.6674 1.00858 0.000173589
  23 1.5 56.5886 0.955792 0.000166617
  24 2.5 60.927 1.05012 0.000150885
  25 3.5 59.6083 1.03052 0.000139899
  26 4.5 51.4436 0.8679 0.000122525
  27 5.5 64.9324 1.06649 9.55061e-05
  28 6.5 69.6314 1.32648 8.71786e-05
  29 7.5 35.1234 0.414887 7.32773e-05
  30 8.5 68.6555 1.19644 5.04911e-05
  31 9.5 76.8462 1.35131 3.26937e-05
  32 10.5 2.84016 0.0080925 4.96221e-05
  33 11.5 0 0 0
  34 12.5 0 0 0
  35 13.5 0 0 0
  36 14.5 0 0 0
  37 15.5 0 0 0
  38 16.5 0 0 0
  39 17.5 0 0 0
  40 18.5 0 0 0
  41 19.5 0 0 0
  42 20.5 0 0 0
2000000 42 1218
  1 -20.5 0 0 0
  2 -19.5 0 0 0
  3 -18.5 0 0 0
  4 -17.5 0 0 0
  5 -16.5 0 0 0
  6 -15.5 0 0 0
  7 -14.5 0 0 0
  8 -13.5 0 0 0
  9 -12.5 0 0 0
  10 -11.5 0 0 0
  11 -10.5 3.12793 0.00891806 1.94244e-05
  12 -9.5 78.8329 1.40304 1.75847e-05
  13 -8.5 67.5001 1.16841 3.23639e-05
  14 -7.5 34.0749 0.39813 4.85433e-05
  15 -6.5 71.7875 1.37945 6.33197e-05
  16 -5.5 65.7695 1.08049 8.2698e-05
  17 -4.5 51.4592 0.869659 0.000119796
  18 -3.5 60.0482 1.04234 0.000140522
  19 -2.5 60.6959 1.03944 0.000159929
  20 -1.5 58.2367 0.9825 0.00017614
  21 -0.5 58.9709 1.0087 0.000182924
  22 0.5 58.777 1.00626 0.000178213
  23 1.5 57.5239 0.960829 0.000166374
  24 2.5 61.677 1.06626 0.000157853
  25 3.5 59.9093 1.02092 0.000137767
  26 4.5 51.7424 0.879828 0.000123434
  27 5.5 65.4149 1.0589 8.91644e-05
  28 6.5 73.7332 1.40696 6.3583e-05
  29 7.5 33.4753 0.376251 4.49092e-05
  30 8.5 63.5776 1.09601 2.63236e-05
  31 9.5 79.0671 1.40993 6.07781e-06
  32 10.5 2.59829 0.00740975 2.70969e-05
  33 11.5 0 0 0
  34 12.5 0 0 0
  35 13.5 0 0 0
  36 14.5 0 0 0
  37 15.5 0 0 0
  38 16.5 0 0 0
  39 17.5 0 0 0
  40 18.5 0 0 0
  41 19.5 0 0 0
  42 20.5 0 0 0
